Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,20.799999,24.033333,20.378668,23.620667,23.620667,1864072500
2018-02-01,23.4,23.999332,19.650667,22.870667,22.870667,1637850000
2018-03-01,23.000668,23.244667,16.547333,17.742001,17.742001,2359027500
2018-04-01,17.084,20.633333,16.306,19.593332,19.593332,2854662000
2018-05-01,19.567333,20.865999,18.228001,18.982,18.982,2333671500
2018-06-01,19.057333,24.915333,18.922667,22.863333,22.863333,3201376500
2018-07-01,24.004667,24.318666,19.075333,19.875999,19.875999,2584923000
2018-08-01,19.865999,25.830667,19.213333,20.110666,20.110666,4160403000
2018-09-01,19.796,20.997334,16.816668,17.651333,17.651333,2941131000
2018-10-01,20.384666,23.143999,16.518,22.488001,22.488001,4295410500
2018-11-01,22.550667,24.450001,21.666668,23.365334,23.365334,1995286500
2018-12-01,24.0,25.299334,19.606001,22.186666,22.186666,2196768000
2019-01-01,20.406668,23.466667,18.618668,20.468,20.468,2634781500
2019-02-01,20.361334,21.615999,19.251333,21.325333,21.325333,1928251500
2019-03-01,20.462667,20.475332,16.964001,18.657333,18.657333,3206902500
2019-04-01,18.841333,19.744667,15.408667,15.912667,15.912667,3461209500
2019-05-01,15.923333,17.223333,12.273333,12.344,12.344,4238982000
2019-06-01,12.367333,15.649333,11.799333,14.897333,14.897333,3224559000
2019-07-01,15.347333,17.738001,14.814667,16.107332,16.107332,2990050500
2019-08-01,16.176666,16.300667,14.066667,15.040667,15.040667,2006859000
2019-09-01,14.938667,16.9,14.557333,16.058001,16.058001,2036629500
2019-10-01,16.1,22.722668,14.952,20.994667,20.994667,3419739000
2019-11-01,21.087999,24.08,20.617332,21.996,21.996,2366562000
2019-12-01,21.959999,29.020666,21.816668,27.888666,27.888666,3106200000
2020-01-01,28.299999,43.533333,28.114,43.371334,43.371334,6108277500
2020-02-01,44.912666,64.599335,40.768002,44.532665,44.532665,7088802000
2020-03-01,47.417332,53.798668,23.367332,34.933334,34.933334,6314025000
2020-04-01,33.599998,57.987999,29.76,52.125332,52.125332,5722162500
2020-05-01,50.333332,56.219334,45.535999,55.666668,55.666668,4090554000
2020-06-01,57.200001,72.512665,56.939999,71.987335,71.987335,3836590500
2020-07-01,72.199997,119.666,72.033333,95.384003,95.384003,5679502500
2020-08-01,96.613335,166.713333,91.0,166.106674,166.106674,4672135200
2020-09-01,167.380005,167.496674,109.959999,143.003326,143.003326,5208854400
2020-10-01,146.919998,155.300003,126.370003,129.346664,129.346664,2500999200
2020-11-01,131.333328,202.600006,130.766663,189.199997,189.199997,2347796400
2020-12-01,199.196671,239.573334,180.403336,235.223328,235.223328,3589038000
2021-01-01,239.820007,300.133331,239.063339,264.51001,264.51001,2117084400
2021-02-01,271.429993,293.5,206.333328,225.166672,225.166672,1568573700
2021-03-01,230.036667,240.369995,179.830002,222.643326,222.643326,2827357200
2021-04-01,229.456665,260.263336,219.806671,236.479996,236.479996,2035619100
2021-05-01,234.600006,235.333328,182.32666,208.406662,208.406662,1875527400
2021-06-01,209.266663,232.539993,190.406662,226.566666,226.566666,1559765700
2021-07-01,227.973328,233.333328,206.820007,229.066666,229.066666,1345349400
2021-08-01,233.333328,246.796661,216.279999,245.240005,245.240005,1143974700
2021-09-01,244.693329,266.333344,236.28334,258.493347,258.493347,1170513900
2021-10-01,259.466675,371.736664,254.529999,371.333344,371.333344,1586803800
2021-11-01,381.666656,414.496674,326.200012,381.58667,381.58667,1947334500
2021-12-01,386.899994,390.946655,295.373322,352.26001,352.26001,1530167700
2022-01-01,382.583344,402.666656,264.003326,312.23999,312.23999,1916006400
2022-02-01,311.736664,315.92334,233.333328,290.143341,290.143341,1391126700
2022-03-01,289.893341,371.589996,252.013336,359.200012,359.200012,1729272900
2022-04-01,360.383331,384.290009,273.899994,290.253326,290.253326,1520959800
2022-05-01,286.92334,318.5,206.856674,252.753326,252.753326,1948221600
2022-06-01,251.720001,264.209991,208.693329,224.473328,224.473328,2011227900
2022-07-01,227.0,298.320007,216.166672,297.149994,297.149994,1744884000
2022-08-01,301.276672,314.666656,271.809998,275.609985,275.609985,1695263200
2022-09-01,272.579987,313.799988,262.470001,265.25,265.25,1299271000
2022-10-01,254.5,257.5,198.589996,227.539993,227.539993,1735263100
2022-11-01,234.050003,237.399994,166.190002,194.699997,194.699997,1885275300
2022-12-01,197.080002,198.919998,108.239998,123.18,123.18,2943774900
