,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-01-01,16.299999,17.290001,16.23,17.110001,16.048899,46560000
1,2018-02-01,17.02,17.1,15.22,16.129999,15.129673,49394200
2,2018-03-01,16.110001,16.68,15.34,15.8,14.820139,41892700
3,2018-04-01,15.76,16.290001,15.2,15.98,15.080094,33993100
4,2018-05-01,15.94,16.65,14.97,15.03,14.183594,45505000
5,2018-06-01,15.14,16.35,15.09,15.5,14.627126,37529400
6,2018-07-01,15.44,15.81,14.79,15.07,14.22134,34455000
7,2018-08-01,14.99,15.44,13.0,13.07,12.33397,72745700
8,2018-09-01,13.31,13.31,12.24,13.19,12.447211,75842100
9,2018-10-01,13.22,13.52,12.38,13.19,12.54663,118084900
10,2018-11-01,13.16,14.38,12.5,12.98,12.346873,78325800
11,2018-12-01,13.19,13.43,10.65,11.35,10.796381,59381300
12,2019-01-01,11.21,12.87,11.12,12.83,12.204189,43465500
13,2019-02-01,12.85,13.19,12.1,13.02,12.384923,53423900
14,2019-03-01,13.09,13.41,12.21,12.44,11.833213,65082500
15,2019-04-01,12.52,12.84,12.23,12.42,11.905489,50703000
16,2019-05-01,12.44,12.53,11.22,11.39,10.918159,58025100
17,2019-06-01,11.36,13.69,11.35,13.49,12.931163,83295200
18,2019-07-01,13.73,13.79,12.97,13.16,12.614833,56151300
19,2019-08-01,13.12,14.35,12.49,13.75,13.180392,67796100
20,2019-09-01,13.65,14.66,13.49,13.92,13.343349,44514700
21,2019-10-01,13.94,14.17,12.84,13.71,13.234145,46762300
22,2019-11-01,13.72,13.94,12.51,12.88,12.432954,56852600
23,2019-12-01,12.86,14.27,12.53,14.14,13.649222,46854800
24,2020-01-01,14.17,15.07,13.18,13.62,13.147268,46373700
25,2020-02-01,13.74,14.79,11.51,12.08,11.660721,60255700
26,2020-03-01,12.12,12.75,7.97,8.98,8.668317,99443300
27,2020-04-01,8.42,10.59,7.9,9.91,9.661316,64445100
28,2020-05-01,9.76,12.29,9.2,12.25,11.942597,53681500
29,2020-06-01,12.26,13.38,11.24,11.86,11.562383,58982200
30,2020-07-01,11.85,13.05,11.57,12.72,12.400804,33920700
31,2020-08-01,12.78,15.46,12.64,15.12,14.740578,45502000
32,2020-09-01,15.11,15.9,13.78,14.02,13.66818,58002300
33,2020-10-01,14.04,14.7,12.79,13.13,12.884673,37705000
34,2020-11-01,13.31,18.27,13.07,17.65,17.320219,54164600
35,2020-12-01,17.700001,18.700001,17.15,17.969999,17.634237,69710000
36,2021-01-01,18.040001,20.049999,17.75,19.4,19.037519,48227900
37,2021-02-01,19.33,24.219999,18.719999,23.450001,23.011848,78866200
38,2021-03-01,23.799999,27.68,23.139999,25.43,24.954853,104359600
39,2021-04-01,25.51,27.469999,25.25,26.200001,25.809315,66206100
40,2021-05-01,26.309999,27.969999,25.219999,26.99,26.587534,84554900
41,2021-06-01,26.59,26.91,24.940001,25.77,25.385727,48681600
42,2021-07-01,25.9,26.25,23.540001,24.629999,24.262724,39393800
43,2021-08-01,24.709999,26.42,21.709999,22.469999,22.134933,52625600
44,2021-09-01,22.639999,24.5,21.610001,23.530001,23.179129,60153000
45,2021-10-01,23.629999,24.51,22.719999,22.9,22.662098,45712500
46,2021-11-01,22.99,25.870001,21.190001,21.620001,21.395397,90071700
47,2021-12-01,22.059999,22.83,20.58,22.309999,22.078226,64981900
48,2022-01-01,22.379999,23.200001,20.860001,22.24,22.008955,57187300
49,2022-02-01,22.219999,23.73,20.530001,22.32,22.088121,65715100
50,2022-03-01,22.200001,23.07,20.049999,22.15,21.919889,66348900
51,2022-04-01,22.290001,22.42,19.84,19.860001,19.747223,44446900
52,2022-05-01,19.93,20.9,16.379999,17.4,17.301191,85498000
53,2022-06-01,17.48,17.790001,14.95,15.58,15.491528,76819500
54,2022-07-01,15.55,17.299999,15.11,17.139999,17.042667,42304100
55,2022-08-01,17.02,20.58,16.799999,16.92,16.823917,55730400
56,2022-09-01,16.780001,17.84,14.87,15.11,15.024196,50514500
57,2022-10-01,15.35,17.360001,15.05,16.870001,16.870001,67105100
58,2022-11-01,17.059999,19.25,15.0,19.15,19.15,66858000
59,2022-12-01,19.09,19.360001,17.99,18.049999,18.049999,13741800
