Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,177.679993,190.660004,175.800003,186.889999,186.889999,495655700
2018-02-01,188.220001,195.320007,167.179993,178.320007,178.320007,516251600
2018-03-01,179.009995,186.100006,149.020004,159.789993,159.789993,996201700
2018-04-01,157.809998,177.100006,150.509995,172.0,172.0,750072700
2018-05-01,172.0,192.720001,170.229996,191.779999,191.779999,401144100
2018-06-01,193.070007,203.550003,186.429993,194.320007,194.320007,387265600
2018-07-01,193.369995,218.619995,166.559998,172.580002,172.580002,647030700
2018-08-01,173.929993,188.300003,170.270004,175.729996,175.729996,548832700
2018-09-01,173.5,173.889999,158.869995,164.460007,164.460007,500468800
2018-10-01,163.029999,165.880005,139.029999,151.789993,151.789993,622446300
2018-11-01,151.520004,154.130005,126.849998,140.610001,140.610001,518151700
2018-12-01,143.0,147.190002,123.019997,131.089996,131.089996,558786200
2019-01-01,128.990005,171.679993,128.559998,166.690002,166.690002,527547900
2019-02-01,165.839996,172.470001,159.589996,161.449997,161.449997,302243200
2019-03-01,162.600006,174.300003,159.279999,166.690002,166.690002,387936100
2019-04-01,167.830002,198.479996,167.279999,193.399994,193.399994,381985300
2019-05-01,194.779999,196.179993,177.160004,177.470001,177.470001,286821500
2019-06-01,175.0,198.880005,160.839996,193.0,193.0,426428600
2019-07-01,195.210007,208.660004,191.929993,194.229996,194.229996,351020900
2019-08-01,194.169998,198.470001,176.660004,185.669998,185.669998,294689500
2019-09-01,184.0,193.100006,175.660004,178.080002,178.080002,264538500
2019-10-01,179.149994,198.089996,173.089996,191.649994,191.649994,326207200
2019-11-01,192.850006,203.800003,188.539993,201.639999,201.639999,258303900
2019-12-01,202.130005,208.929993,193.169998,205.25,205.25,276257100
2020-01-01,206.75,224.199997,201.059998,201.910004,201.910004,347314600
2020-02-01,203.440002,218.770004,181.820007,192.470001,192.470001,317547300
2020-03-01,194.029999,197.240005,137.100006,166.800003,166.800003,649467700
2020-04-01,161.619995,209.690002,150.830002,204.710007,204.710007,541334600
2020-05-01,201.600006,240.899994,198.759995,225.089996,225.089996,509476500
2020-06-01,224.589996,245.190002,207.110001,227.070007,227.070007,548043800
2020-07-01,228.5,255.850006,226.899994,253.669998,253.669998,517599700
2020-08-01,252.649994,304.670013,247.429993,293.200012,293.200012,574239100
2020-09-01,294.709991,303.600006,244.130005,261.899994,261.899994,499115300
2020-10-01,265.350006,285.23999,254.820007,263.109985,263.109985,454101600
2020-11-01,264.600006,297.380005,257.339996,276.970001,276.970001,356771600
2020-12-01,279.160004,291.779999,264.630005,273.160004,273.160004,363901000
2021-01-01,274.779999,286.790009,244.610001,258.329987,258.329987,452633100
2021-02-01,259.519989,276.600006,254.039993,257.619995,257.619995,317775200
2021-03-01,260.820007,299.709991,253.5,294.529999,294.529999,497416700
2021-04-01,298.399994,331.809998,296.040009,325.079987,325.079987,421257700
2021-05-01,326.170013,333.779999,298.190002,328.730011,328.730011,353423700
2021-06-01,330.149994,358.140015,323.480011,347.709991,347.709991,344810400
2021-07-01,346.820007,377.549988,334.5,356.299988,356.299988,335420300
2021-08-01,358.100006,382.76001,347.700012,379.380005,379.380005,226132300
2021-09-01,379.589996,384.329987,338.149994,339.390015,339.390015,338121800
2021-10-01,341.609985,345.019989,308.109985,323.570007,323.570007,588382500
2021-11-01,326.040009,353.829987,323.200012,324.459991,324.459991,441125000
2021-12-01,330.290009,352.709991,299.5,336.350006,336.350006,438246900
2022-01-01,338.299988,343.089996,289.01001,313.26001,313.26001,427237300
2022-02-01,314.559998,328.0,190.220001,211.029999,211.029999,1128039600
2022-03-01,209.869995,231.149994,185.820007,222.360001,222.360001,733274500
2022-04-01,224.550003,236.860001,169.0,200.470001,200.470001,672255000
2022-05-01,201.169998,224.300003,176.110001,193.639999,193.639999,680548800
2022-06-01,196.509995,202.029999,154.25,161.25,161.25,685975600
2022-07-01,160.309998,183.850006,154.850006,159.100006,159.100006,586482400
2022-08-01,157.25,183.100006,155.229996,162.929993,162.929993,551922900
2022-09-01,163.580002,171.389999,134.119995,135.679993,135.679993,635014800
2022-10-01,137.139999,142.389999,92.599998,93.160004,93.160004,1107662200
2022-11-01,94.330002,118.739998,88.089996,118.099998,118.099998,1063791200
2022-12-01,119.199997,124.669998,112.459999,120.339996,120.339996,652928100
